product_id,category,price,brand,weight_kg,month,day_of_week,quarter,is_holiday,supplier,warehouse_location,discount_percent,stock_available,quantity_sold
95,Beauty,31.15,BrandB,1.51,2,5,1,0,SupplierB,Bandung,44.61,89,118
72,Electronics,238.74,BrandE,3.67,4,5,2,0,SupplierE,Jakarta,35.07,429,31
44,Sports,153.53,BrandB,17.45,5,1,2,0,SupplierF,Medan,47.86,344,62
6,Furniture,206.39,BrandE,43.14,12,3,4,0,SupplierC,Lampung,6.24,944,20
91,Sports,160.73,BrandC,12.76,2,0,1,0,SupplierE,Bandung,11.39,296,54
47,Health,81.35,BrandC,0.59,3,2,1,0,SupplierD,Bekasi,10.48,273,74
32,Beauty,133.13,BrandB,1.26,3,3,1,0,SupplierE,Bekasi,13.5,947,64
5,Sports,125.42,BrandA,6.82,6,3,2,0,SupplierB,Lampung,3.31,935,68
19,Beauty,69.79,BrandD,1.35,5,1,2,0,SupplierF,Medan,37.25,551,92
66,Sports,225.65,BrandC,11.88,8,0,3,0,SupplierB,Bandung,2.36,112,42
77,Clothing,240.74,BrandA,1.38,8,4,3,0,SupplierD,Medan,48.55,881,98
83,Beauty,146.94,BrandE,1.4,6,0,2,0,SupplierC,Lampung,21.74,464,55
14,Beauty,176.41,BrandE,0.6,11,2,4,0,SupplierB,Padang,31.95,623,77
42,Food,62.19,BrandE,5.53,8,0,3,0,SupplierA,Padang,46.45,899,189
94,Health,102.64,BrandE,0.38,8,6,3,0,SupplierA,Jakarta,48.9,545,147
78,Clothing,203.03,BrandB,2.85,7,1,3,0,SupplierC,Padang,37.76,706,66
58,Food,34.92,BrandC,6.82,2,1,1,0,SupplierD,Padang,3.2,21,33
30,Clothing,182.71,BrandF,0.22,2,0,1,0,SupplierF,Jakarta,16.52,526,44
61,Beauty,102.23,BrandF,1.12,4,6,2,0,SupplierE,Padang,40.37,194,83
87,Beauty,91.9,BrandD,0.9,11,5,4,0,SupplierF,Jakarta,3.03,745,101
55,Health,46.14,BrandE,1.04,3,2,1,0,SupplierD,Bandung,12.49,945,58
2,Health,260.48,BrandA,2.8,2,6,1,0,SupplierF,Padang,11.82,416,45
50,Clothing,261.43,BrandB,2.73,5,6,2,0,SupplierD,Jakarta,22.75,433,69
25,Beauty,199.13,BrandF,1.16,5,1,2,0,SupplierD,Bandung,28.96,555,45
8,Food,9.29,BrandE,5.97,9,0,3,0,SupplierE,Bandung,9.29,609,133
77,Health,82.03,BrandE,0.69,1,4,1,0,SupplierB,Padang,20.96,597,64
34,Food,75.1,BrandF,2.28,7,1,3,0,SupplierC,Bandung,32.28,468,101
10,Health,281.68,BrandE,0.15,9,1,3,0,SupplierE,Jakarta,13.26,955,48
70,Electronics,1343.05,BrandB,5.86,12,2,4,0,SupplierD,Lampung,49.19,826,34
34,Electronics,1068.22,BrandF,8.54,2,0,1,0,SupplierA,Bandung,27.66,278,15
63,Clothing,219.52,BrandF,0.77,5,6,2,0,SupplierC,Padang,4.61,433,69
95,Electronics,204.61,BrandF,11.68,8,4,3,0,SupplierC,Bandung,21.38,9,10
19,Beauty,181.75,BrandC,1.14,7,1,3,0,SupplierE,Padang,15.41,920,71
14,Health,26.37,BrandF,1.85,6,6,2,0,SupplierB,Bekasi,44.21,416,171
4,Beauty,39.37,BrandB,1.87,3,5,1,0,SupplierB,Medan,39.12,421,137
49,Health,224.49,BrandB,1.32,1,6,1,0,SupplierF,Jakarta,11.12,836,56
85,Food,27.89,BrandB,8.01,4,3,2,0,SupplierB,Jakarta,13.93,71,165
4,Food,31.34,BrandF,5.24,2,2,1,0,SupplierE,Surabaya,29.03,271,96
66,Sports,228.59,BrandC,14.71,2,3,1,0,SupplierD,Padang,9.5,45,31
95,Electronics,875.9,BrandF,12.19,11,1,4,0,SupplierF,Bekasi,21.56,971,33
65,Food,51.74,BrandA,6.73,5,5,2,0,SupplierF,Surabaya,16.31,713,121
23,Clothing,69.67,BrandD,2.06,10,4,4,0,SupplierF,Bekasi,20.3,853,74
60,Food,20.76,BrandE,7.92,8,3,3,0,SupplierF,Surabaya,10.69,484,182
82,Health,224.75,BrandC,3.33,10,2,4,0,SupplierE,Bekasi,40.92,769,72
61,Food,21.85,BrandA,2.23,10,6,4,0,SupplierA,Bandung,3.64,424,210
19,Sports,113.33,BrandD,14.08,11,5,4,0,SupplierD,Bandung,44.63,881,141
7,Electronics,1211.95,BrandF,3.67,9,1,3,0,SupplierE,Medan,6.07,136,20
93,Beauty,110.92,BrandC,1.16,9,3,3,0,SupplierD,Padang,45.34,456,128
99,Beauty,173.68,BrandB,0.96,9,3,3,0,SupplierF,Surabaya,11.96,450,49
20,Food,22.59,BrandE,3.56,4,3,2,0,SupplierA,Bandung,7.64,219,102
54,Furniture,463.97,BrandA,25.97,7,6,3,0,SupplierB,Lampung,47.3,20,10
50,Health,179.07,BrandC,2.44,7,4,3,0,SupplierC,Lampung,36.73,819,86
44,Clothing,154.15,BrandD,0.96,11,5,4,0,SupplierA,Medan,20.22,169,131
